mfr                    , carline,car/truck,cid,rhp,trns,drv,od,etw,cmp,axle,n/v,a/c,hc,co,co2,mpg
20,300C/SRT-8,C,215,253,L5,4,2,4500,9.9,3.07,30.9,Y,0.011,0.09,288,30.8
20,CARAVAN 2WD,T,201,180,L4,F,2,4500,9.3,2.49,32.3,Y,0.014,0.11,274,32.5
20,CROSSFIRE ROADSTER,C,196,168,L5,R,2,3375,10,3.27,37.1,Y,0.001,0.02,250,35.4
20,DAKOTA PICKUP 2WD,T,226,210,L4,R,2,4500,9.2,3.55,29.6,Y,0.012,0.04,316,28.1
20,DAKOTA PICKUP 4WD,T,226,210,L4,4,2,5000,9.2,3.55,29.6,Y,0.011,0.05,365,24.4
20,DURANGO 2WD,T,348,345,L5,R,2,5250,8.6,3.55,27.2,Y,0.023,0.15,367,24.1
20,GRAND CHEROKEE 2WD,T,226,210,L4,R,2,4500,9.2,3.07,30.4,Y,0.006,0.09,312,28.5
20,GRAND CHEROKEE 4WD,T,348,230,L5,4,2,5000,9,3.07,24.7,Y,0.008,0.11,369,24.2
20,LIBERTY/CHEROKEE 2WD,T,148,150,M6,R,2,4000,9.5,4.1,41,Y,0.004,0.41,270,32.8
20,LIBERTY/CHEROKEE 4WD,T,226,210,L4,4,2,4250,9.2,3.73,31.2,Y,0.003,0.04,317,28
20,NEON/SRT-4/SX 2.0,C,122,132,L4,F,2,3000,9.8,2.69,39.2,Y,0.003,0.16,214,41.3
20,PACIFICA 2WD,T,215,249,L4,F,2,4750,9.9,2.95,35.3,Y,0.022,0.01,295,30
20,PACIFICA AWD,T,215,249,L4,4,2,5000,9.9,2.95,35.3,Y,0.024,0.05,314,28.2
20,PT CRUISER,T,148,220,L4,F,2,3625,9.5,2.69,37.3,Y,0.002,0.03,260,34.1
20,RAM 1500 PICKUP 2WD,T,500,500,M6,R,2,5250,9.6,4.1,22.3,Y,0.01,0.1,474,18.7
20,RAM 1500 PICKUP 4WD,T,348,345,L5,4,2,6000,8.6,3.92,29,Y,0,0,0,20.3
20,SEBRING 4-DR,C,165,200,L4,F,2,3625,9.7,2.69,36.8,Y,0.011,0.12,252,35.1
20,STRATUS 4-DR,C,148,167,L4,F,2,3500,9.5,2.69,36.8,Y,0.002,0.06,233,37.9
20,TOWN & COUNTRY 2WD,T,148,150,L4,F,2,4250,9.4,2.69,34.9,Y,0,0.09,262,33.8
20,VIPER CONVERTIBLE,C,500,501,M6,R,2,3750,9.6,3.07,19.4,Y,0.007,0.05,342,25.9
20,WRANGLER/TJ 4WD,T,148,150,M6,4,2,3625,9.5,3.73,40.1,Y,0.004,0.43,337,26.4